Province,District,Milking Cows No.,Milking Buffaloes No.,Cow Milk,Buffaloes Milk,Total Milk Produced
1,BHOJPUR,15026,17251,8373,9686,18059
1,DHANKUTA,15273,5922,10040,3946,13986
1,ILAM,24032,7577,26292,5927,32219
1,JHAPA,54000,26610,58345,23339,81684
1,KHOTANG,13809,17280,7623,9975,17598
1,MORANG,75250,36628,83410,32287,115697
1,OKHALDHUNGA,8295,14398,4805,9438,14243
1,PANCHTHAR,15889,12292,10228,8538,18766
1,SANKHUWASABHA,15289,11628,9108,7370,16478
1,SOLUKHUMBU,7292,11437,4310,6841,11152
1,SUNSARI,53672,57186,61219,52949,114168
1,TAPLEJUNG,7442,5108,4067,2924,6991
1,TERHATHUM,9398,8995,6095,5771,11866
1,UDAYAPUR,20800,33383,16603,24023,40627
Madhesh,BARA,25265,53304,23761,49233,72993
Madhesh,DHANUSHA,24091,22154,21503,20245,41748
Madhesh,MAHOTTARI,20467,23374,17318,21346,38664
Madhesh,PARSA,14227,18753,14271,17975,32246
Madhesh,RAUTAHAT,20655,26728,15322,25024,40346
Madhesh,SAPTARI,39982,62321,34007,59333,93340
Madhesh,SARLAHI,34490,31063,29185,29583,58767
Madhesh,SIRAHA,15075,29819,10855,28489,39344
Bagmati,BHAKTAPUR,4648,2987,7346,2891,10236
Bagmati,CHITWAN,17811,25399,27377,25372,52749
Bagmati,DHADING,20815,30583,19421,24740,44161
Bagmati,DOLAKHA,11387,18757,8822,15645,24467
Bagmati,KATHMANDU,9880,13294,16012,13242,29254
Bagmati,KABHREPALANCHOK,25523,50699,29647,51188,80835
Bagmati,LALITPUR,4083,21009,4802,25316,30118
Bagmati,MAKWANPUR,20176,36054,20519,30768,51288
Bagmati,NUWAKOT,20513,31603,18707,25289,43996
Bagmati,RAMECHHAP,10408,14226,9690,11381,21072
Bagmati,RASUWA,2059,1769,1193,1100,2293
Bagmati,SINDHULI,21305,21333,20934,17794,38728
Bagmati,SINDHUPALCHOK,9408,21136,7221,18724,25945
Gandaki,BAGLUNG,4498,25786,3240,24466,27706
Gandaki,GORKHA,12248,19573,8538,18635,27174
Gandaki,KASKI,11254,20128,12404,23922,36326
Gandaki,LAMJUNG,4747,14239,3471,12489,15960
Gandaki,MANANG,369,0,165,0,165
Gandaki,MUSTANG,1096,35,609,17,626
Gandaki,MYAGDI,5027,7194,2912,5173,8085
Gandaki,NAWALPARASI EAST,17518,23630,19170,25119,44289
Gandaki,PARBAT,3391,8727,2594,8355,10950
Gandaki,SYANGJA,5242,35862,3739,33388,37127
Gandaki,TANAHUN,11860,17806,9622,19272,28894
Lumbini,ARGHAKHANCHI,5727,28176,4226,25823,30050
Lumbini,BANKE,35090,57825,32604,49753,82357
Lumbini,BARDIYA,18733,45863,18314,38338,56652
Lumbini,DANG,22669,44581,17879,36780,54659
Lumbini,GULMI,7035,15009,4759,12564,17323
Lumbini,KAPILBASTU,25217,42917,25149,38405,63554
Lumbini,NAWALPARASI WEST,12714,21591,13134,20191,33325
Lumbini,PALPA,11897,27754,9453,25086,34538
Lumbini,PYUTHAN,11808,21689,7093,17317,24411
Lumbini,ROLPA,16936,15709,10134,11017,21151
Lumbini,RUKUM EAST,2638,5133,1583,4236,5819
Lumbini,RUPANDEHI,19291,54406,23179,48814,71993
Karnali,DAILEKH,12175,18550,7322,12808,20130
Karnali,DOLPA,3346,1017,1616,580,2196
Karnali,HUMLA,2597,863,1254,488,1743
Karnali,JAJARKOT,5920,9300,2861,6388,9249
Karnali,JUMLA,9114,1060,4646,637,5283
Karnali,KALIKOT,3395,8712,1718,4921,6639
Karnali,MUGU,5568,3933,2817,2352,5169
Karnali,RUKUM WEST,3992,14778,2713,10542,13255
Karnali,SALYAN,19312,22123,13336,16885,30220
Karnali,SURKHET,8542,14309,6533,11695,18228
Sudurpaschim,ACHHAM,7478,9395,3879,7131,11010
Sudurpaschim,BAITADI,19431,15272,11623,11601,23224
Sudurpaschim,BAJHANG,13190,8812,7423,6089,13512
Sudurpaschim,BAJURA,14534,6033,7442,4185,11627
Sudurpaschim,DADELDHURA,15292,6082,9217,4648,13865
Sudurpaschim,DARCHULA,10407,7802,4632,4845,9477
Sudurpaschim,DOTI,17636,16114,10573,12812,23385
Sudurpaschim,KAILALI,35665,53956,33867,49776,83643
Sudurpaschim,KANCHANPUR,26707,36838,24614,34175,58788