Year,Cattle,Buffaloes,Sheep,Goat,Pigs,Fowl,Duck,Milking Cows No.,Milking Buffaloes No.,Laying Hen,Laying Duck
2001/02,6978690,3700864,840141,6606858,934461,21370420,408584,852790,958530,6453860,214090
2002/03,6953584,3840013,828286,6791861,932192,22260700,408311,870589,988035,6622558,213751
2003/04,6966436,3952654,824187,6979875,935076,23023979,405217,888190,1015727,6676954,211838
2004/05,6994463,4081463,816727,7153527,947711,22790224,391855,902286,1050977,6643350,183208
2005/06,7002916,4204886,812085,7421624,960827,23221439,392895,903376,1084764,6769050,183690
2006/07,7044279,4366813,813621,7847624,989429,23924630,394798,908712,1124454,6962076,184608
2007/08,7090714,4496507,809480,8135880,1013359,24665820,390748,915411,1158300,7153088,182753
2008/09,7175198,4680486,802993,8473082,1044498,24481286,383123,932876,1211495,7124054,179187
2009/10,7199260,4836984,801371,8844172,1064858,25760373,379753,954680,1252770,7290875,175300
2010/11,7226050,4993650,805070,9186440,1108465,40000000,378050,974122,1291644,7478645,175150
2011/12,7244944,5133139,807267,9512958,1137489,45171185,376916,998963,1331037,7907468,174978
2012/13,7274022,5241873,809536,9786354,1160035,47959239,375975,1025591,1369796,8233616,174714
2013/14,7243916,5178612,789216,10177531,1190138,48079406,390209,1024513,1345837,8350237,179447
2014/15,7241743,5167737,789292,10251569,1203230,50195285,390287,1025947,1345164,8412247,179480
2015/16,7302808,5168809,800658,10986114,1291308,68630638,392255,1026135,1355384,12353515,180927
2016/17,7347487,5177998,801975,11165099,1328036,70007151,394775,1029529,1509512,12388889,183940
2017/18,7376306,5277819,800749,11647319,1435369,72245732,404670,1039538,1535948,12517558,186912
2018/19,7385035,5308664,798889,12283752,1488338,75709330,416400,1078775,1560584,12526979,190747
2019/20,7458885,5257591,806079,12811953,1519593,82598879,427226,1166156,1635492,12927842,191701
2020/21,7466841,5159931,793725,13442614,1588838,73418077,432226,1209041,1630642,11374011,220532