Province,District,Buff,Mutton,Chevon,Pork,Chicken,Duck,Total Meat
1,BHOJPUR,1923,23,535,956,1095,2,4534
1,DHANKUTA,680,2,984,646,1956,4,4273
1,ILAM,837,1,894,629,1634,1,3996
1,JHAPA,2739,0,1684,1465,4308,5,10202
1,KHOTANG,2215,23,711,966,1195,2,5113
1,MORANG,3917,2,1960,1183,5411,67,12539
1,OKHALDHUNGA,1859,29,744,1267,1000,1,4899
1,PANCHTHAR,1509,5,716,920,1188,1,4338
1,SANKHUWASABHA,1608,48,930,722,1427,1,4737
1,SOLUKHUMBU,1615,33,519,495,810,1,3474
1,SUNSARI,5802,12,1455,1229,3896,26,12420
1,TAPLEJUNG,652,21,481,564,821,1,2540
1,TERHATHUM,903,18,659,627,753,2,2962
1,UDAYAPUR,3908,3,1574,1124,2337,6,8952
Madhesh,BARA,5857,1,1660,495,1891,12,9917
Madhesh,DHANUSHA,2478,2,1257,139,3003,10,6889
Madhesh,MAHOTTARI,2625,2,1117,303,2196,7,6251
Madhesh,PARSA,1951,1,684,208,2729,8,5582
Madhesh,RAUTAHAT,2903,0,1137,202,1054,8,5304
Madhesh,SAPTARI,6722,9,1134,527,3694,25,12110
Madhesh,SARLAHI,3291,4,1312,210,2050,10,6877
Madhesh,SIRAHA,3302,4,729,136,3040,12,7222
Bagmati,BHAKTAPUR,347,4,224,335,8642,5,9557
Bagmati,CHITWAN,2933,11,1413,334,56720,14,61426
Bagmati,DHADING,3708,36,995,359,7147,2,12247
Bagmati,DOLAKHA,2115,42,944,184,1636,1,4921
Bagmati,KATHMANDU,1455,4,261,730,9317,29,11797
Bagmati,KABHREPALANCHOK,5530,14,1629,257,8878,4,16313
Bagmati,LALITPUR,2141,9,385,220,4721,15,7491
Bagmati,MAKWANPUR,4192,10,1626,207,6767,4,12807
Bagmati,NUWAKOT,3995,59,1795,224,2975,3,9050
Bagmati,RAMECHHAP,1702,9,1150,254,991,1,4107
Bagmati,RASUWA,246,108,222,21,336,0,934
Bagmati,SINDHULI,2560,2,1528,249,3687,5,8031
Bagmati,SINDHUPALCHOK,2420,36,1096,176,1529,1,5258
Gandaki,BAGLUNG,3248,36,667,217,1280,2,5449
Gandaki,GORKHA,2354,70,1439,250,1831,0,5944
Gandaki,KASKI,1769,50,783,457,8658,13,11730
Gandaki,LAMJUNG,1325,50,766,148,1002,1,3292
Gandaki,MANANG,0,13,31,2,24,0,69
Gandaki,MUSTANG,5,20,294,1,31,0,349
Gandaki,MYAGDI,987,108,572,51,666,3,2386
Gandaki,NAWALPARASI EAST,2537,7,607,486,2797,18,6452
Gandaki,PARBAT,1042,10,295,149,924,5,2424
Gandaki,SYANGJA,3956,8,1318,488,1473,1,7244
Gandaki,TANAHUN,2092,3,2039,1134,1758,1,7027
Lumbini,ARGHAKHANCHI,3711,5,706,56,1575,1,6053
Lumbini,BANKE,6981,36,1700,1497,3601,3,13818
Lumbini,BARDIYA,5007,42,1130,758,1514,2,8454
Lumbini,DANG,5215,128,1585,1824,9611,15,18378
Lumbini,GULMI,1878,25,796,227,816,1,3742
Lumbini,KAPILBASTU,5480,47,1423,470,2248,8,9676
Lumbini,NAWALPARASI WEST,2634,11,529,786,1699,21,5680
Lumbini,PALPA,3362,11,1163,558,2506,2,7602
Lumbini,PYUTHAN,2807,53,946,218,1026,1,5051
Lumbini,ROLPA,2084,54,1063,723,1661,1,5585
Lumbini,RUKUM EAST,657,83,327,203,415,0,1687
Lumbini,RUPANDEHI,5693,17,1369,343,4321,23,11766
Karnali,DAILEKH,2181,58,1242,239,523,1,4244
Karnali,DOLPA,126,135,278,2,142,0,683
Karnali,HUMLA,108,115,386,2,52,0,664
Karnali,JAJARKOT,1259,95,626,55,489,1,2524
Karnali,JUMLA,136,273,235,6,217,1,868
Karnali,KALIKOT,1100,135,445,32,205,0,1917
Karnali,MUGU,532,158,251,2,42,0,984
Karnali,RUKUM WEST,1978,101,869,66,1323,1,4337
Karnali,SALYAN,2685,55,1660,247,1348,3,5997
Karnali,SURKHET,1579,22,1762,247,1091,3,4704
Sudurpaschim,ACHHAM,1317,12,602,8,277,0,2216
Sudurpaschim,BAITADI,1867,2,683,13,93,0,2659
Sudurpaschim,BAJHANG,1155,99,435,40,156,0,1885
Sudurpaschim,BAJURA,819,73,409,32,177,0,1510
Sudurpaschim,DADELDHURA,807,2,747,25,215,0,1795
Sudurpaschim,DARCHULA,1135,85,360,11,117,0,1707
Sudurpaschim,DOTI,1794,2,626,49,419,0,2890
Sudurpaschim,KAILALI,5919,53,744,487,4669,7,11880
Sudurpaschim,KANCHANPUR,4212,17,702,279,3136,4,8349