Province,District,Rabbit
1,BHOJPUR,12
1,DHANKUTA,204
1,ILAM,190
1,JHAPA,401
1,KHOTANG,183
1,OKHALDHUNGA,506
1,PANCHTHAR,43
1,SANKHUWASABHA,11
1,SOLUKHUMBU,238
1,SUNSARI,1400
1,TAPLEJUNG,465
1,TERHATHUM,195
1,UDAYPUR,1472
Bagmati,BHAKTAPUR,310
Bagmati,DHADING,989
Bagmati,KATHMANDU,521
Bagmati,KAVREPALANCHOK,2950
Bagmati,LALITPUR,518
Bagmati,MAKWANPUR,235
Gandaki,BAGLUNG,319
Gandaki,GORKHA,980
Gandaki,KASKI,3075
Gandaki,LAMJUNG,103
Gandaki,MANANG,11
Gandaki,NAWALPARASI EAST,185
Gandaki,PARBAT,385
Gandaki,SYANGJA,376
Gandaki,TANAHUN,1549
Lumbini,ARGHAKHANCHI,150
Lumbini,DANG,5478
Lumbini,GULMI,780
Lumbini,KAPILBASTU,750
Lumbini,NAWALPARASI WEST,445
Lumbini,PALPA,1105
Lumbini,ROLPA,220
Lumbini,RUKUM EAST,65
Lumbini,RUPANDEHI,602
Karnali,DAILEKH,1250
Karnali,DOLPA,2035
Karnali,JAJARKOT,1204
Karnali,KALIKOT,2490
Karnali,RUKUM WEST,3012
Sudurpaschim,ACHHAM,1282
Sudurpaschim,BAITADI,307
Sudurpaschim,BAJHANG,387
Sudurpaschim,BAJURA,549
Sudurpaschim,DADELDHURA,887
Sudurpaschim,DARCHULA,473
Sudurpaschim,Doti,574
Sudurpaschim,Kailali,1165
Sudurpaschim,Kanchanpur,1495