Province,District,Horses/Asses
1,Bhojpur,11
1,Dhankuta,9
1,Ilam,2227
1,Jhapa,32
1,Khotang,112
1,Morang,50
1,Okhaldhunga,150
1,Panchthar,56
1,Sankhuwasabha,167
1,Solukhumbu,1749
1,Sunsari,44
1,Taplejung,256
1,Terhathum,23
1,Udayapur,510
Madhesh,Bara,144
Madhesh,Dhanusha,13
Madhesh,Mahottari,28
Madhesh,Rautahat,147
Madhesh,Sarlahi,21
Bagmati,Bhaktapur,180
Bagmati,Chitwan,45
Bagmati,Dhading,275
Bagmati,Dolakha,60
Bagmati,Kathmandu,140
Bagmati,Kavrepalanchok,60
Bagmati,Lalitpur,220
Bagmati,Nuwakot,30
Bagmati,Ramechhap,62
Bagmati,Rasuwa,40
Bagmati,Sindhuli,17
Bagmati,Sindhupalchok,99
Gandaki,Baglung,776
Gandaki,Gorkha,2553
Gandaki,Lamjung,371
Gandaki,Manang,267
Gandaki,Mustang,2359
Gandaki,Myagdi,365
Gandaki,Parbat,43
Gandaki,Syangja,18
Lumbini,Banke,2219
Lumbini,Dang,774
Lumbini,Gulmi,45
Lumbini,Kapilbastu,1223
Lumbini,Nawalparasi West,35
Lumbini,Pyuthan,14
Lumbini,Rolpa,132
Lumbini,Rukum East,205
Lumbini,Rupandehi,108
Karnali,Dailekh,50
Karnali,Dolpa,7343
Karnali,Humla,7091
Karnali,Jajarkot,7901
Karnali,Jumla,1558
Karnali,Kalikot,2490
Karnali,Mugu,2875
Karnali,Rukum West,407
Karnali,Salyan,255
Karnali,Surkhet,742
Sudurpaschim,Achham,1569
Sudurpaschim,Baitadi,482
Sudurpaschim,Bajhang,1957
Sudurpaschim,Bajura,923
Sudurpaschim,Dadeldhura,248
Sudurpaschim,Darchula,442
Sudurpaschim,Doti,47